ITEM_NUMBER,ITEM_ADDED_DATE,BR_ID,L12M,L11M,L10M,L9M,L8M,L7M,L6M,L5M,L4M,L3M,L2M,L1M,CM
ITEM NUMBER,ITEM_ADDED_DATE,BR_ID,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05
ITEM_NUMBER,ITEM_ADDED_DATE,BR_ID,L12M,L11M,L10M,L9M,L8M,L7M,L6M,L5M,L4M,L3M,L2M,L1M,CM
"11-3215-00",81,7,0,6,3,4,1,1,0,1,1,8,0,0
"11-3216-00",81,6,4,11,6,7,6,11,7,9,6,8,4,5
"11-3217-00",81,6,3,3,2,3,6,6,4,0,0,0,0,0
"11-3218-00",81,4,6,1,1,4,6,5,9,3,1,1,1,2
"11-3219-00",81,15,13,9,6,8,3,13,13,12,7,21,28,12
"11-3219-01",81,2,3,2,6,0,0,0,0,0,0,0,0,0
"11-3220-00",81,8,15,9,4,21,7,7,10,14,8,13,18,21
"11-3221-00",81,6,5,4,5,8,3,4,5,4,4,5,5,0
"11-3221-90",81,0,0,0,0,0,0,1,1,1,1,0,0,2
"11-3222-00",81,5,3,10,9,3,4,5,0,4,1,2,5,6
"11-3222-90",81,0,1,0,1,0,0,2,0,2,0,1,0,0
"11-3237-01",81,67,55,316,65,58,43,96,54,93,21,48,215,35
"11-3238-01",81,57,82,347,56,15,37,78,56,160,32,48,82,56
"11-3239-01",81,8,8,6,4,9,0,0,0,0,0,0,0,0
"11-3239-01-0",81,17,36,15,24,62,29,25,33,26,34,11,19,28
"11-3239-01-1",81,206,157,233,176,149,163,322,100,307,372,159,148,109
"11-3239-01-9",81,9,16,8,15,5,8,10,4,6,6,59,23,4
"11-3239-01-9(K)",81,26,16,20,8,12,13,14,11,7,15,13,0,7
"11-3240-01",81,18,9,11,4,5,3,0,0,0,0,0,0,0
"11-3240-01-0",81,35,17,14,12,17,15,59,38,15,44,47,13,14
"11-3240-01-1",81,124,156,155,149,139,124,252,84,307,385,180,144,133
"11-3240-01-9",81,4,4,8,8,0,9,12,1,6,13,1,0,6
"11-3240-01-9(K)",81,19,11,10,12,10,12,11,25,15,19,13,12,9
"11-3241-00",81,40,34,28,36,28,24,36,15,28,9,21,39,11
"11-3241-00-0",81,0,2,0,1,0,0,0,0,0,0,0,0,0
"11-3242-00",81,46,39,26,22,28,20,31,16,28,21,18,33,19
"11-3242-00-0",81,1,6,1,2,4,2,1,0,1,0,2,4,0
"11-3245-01",81,6,4,5,3,1,4,13,5,5,2,2,7,4
"11-3246-01",81,8,6,9,7,5,11,8,6,20,2,8,44,9
"11-3247-01",81,3,0,0,3,3,3,7,3,3,3,6,0,1
"11-3248-01",81,5,6,4,1,5,4,3,2,4,1,1,7,6
"11-3259-01",81,119,105,81,91,128,77,172,96,76,276,39,98,131
"11-3260-01",81,78,82,100,75,146,78,154,109,93,166,65,78,95
"11-3267-01",81,45,69,17,23,21,38,61,47,11,27,26,46,68
"11-3268-01",81,34,38,24,21,26,19,56,38,19,22,25,49,65
"11-3311-01",81,0,0,0,0,0,1,0,0,1,0,0,0,0
"11-3319-90",81,1,0,0,0,0,0,0,0,0,0,0,0,0
"11-3320-90",81,1,0,0,0,0,3,0,0,0,0,0,0,0
"11-5007-01",81,44,49,127,31,48,47,99,41,72,219,43,23,19
"11-5007-01-0",81,7,1,1,0,0,1,0,0,0,0,0,0,0
"11-5007-80",81,0,0,0,0,0,0,0,6,0,0,0,0,0
"11-5007-80-1",81,58,79,39,72,60,67,98,83,116,177,39,108,105
