PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,BR_ID,2016_03_ACTUAL,2016_03_MSF_FORECAST,2016_03_RF_FORECAST
,,A,83,9,10,12
,,A,84,13,11,11
,,A,85,18,15,14
,,A,81,20,13,14
,,A,82,11,9,11
,,A,83,7,12,12
,,A,84,16,11,10
,,A,85,21,18,20
,,A,81,17,17,15
,,A,82,13,14,14
,,A,83,8,8,9
,,A,84,10,10,11
,,A,85,19,14,14
,,A,81,13,12,14
,,A,82,8,12,12
,,A,83,14,13,17
,,A,84,10,12,11
,,A,85,20,18,19
,,D,81,3,1,1
,,D,82,0,1,1
,,D,83,8,1,2
,,D,84,0,2,3
,,D,85,0,0,0
,,D,81,2,2,1
,,D,82,1,1,1
,,D,83,3,3,2
,,D,84,1,3,2
,,D,85,1,3,2
,,D,81,2,1,1
,,D,82,0,0,1
,,D,83,1,1,2
,,D,84,1,1,4
,,D,85,1,0,0
,,D,81,1,0,0
,,D,82,1,1,1
,,D,83,0,3,3
,,D,84,4,4,2
,,D,85,3,3,3
,,D,81,0,1,1
,,D,82,0,3,1
,,D,83,0,9,3
,,D,84,0,3,1
,,D,85,0,8,3
,,A,81,14,39,45
,,A,82,16,30,37
,,A,83,60,56,62
,,A,84,24,27,30
,,A,85,52,41,43
,,A,81,13,36,43
,,A,82,12,35,44
,,A,83,53,57,59
,,A,84,21,29,35
,,A,85,54,48,46
,,B,81,28,22,19
,,B,82,2,4,4
,,B,83,9,7,6
,,B,84,9,4,4
,,B,85,3,10,10
,,B,81,31,20,16
,,B,82,2,4,3
,,B,83,3,7,6
,,B,84,7,5,5
,,B,85,4,8,7
,,D,81,13,12,9
,,D,82,0,1,1
,,D,83,0,1,1
,,D,84,2,2,2
,,D,85,1,2,1
,,D,81,22,13,9
,,D,82,1,2,1
,,D,83,0,1,1
,,D,84,0,1,1
,,D,85,0,1,1
,,C,81,9,6,5
,,C,82,2,2,1
,,C,83,1,3,2
,,C,84,8,7,6
,,C,85,3,6,4
,,C,81,8,8,7
,,C,82,4,2,2
,,C,83,1,3,2
,,C,84,3,7,6
,,C,85,4,4,3
,,D,81,11,5,4
,,D,82,1,1,1
,,D,83,1,2,1
,,D,84,1,1,1
,,D,85,0,0,1
,,D,81,7,5,4
,,D,82,0,1,1
